Player,Matches,Inns,Not-Out,Runs,Highest-Inns-Rate,Average,Balls-Faced,Strike-Rate,100,50,0,4s,6s,Country,Start-Year,End-Year,Career-Length
Younis Khan ,118,213,19,10099,313,52.05,313,52.12,34,33,19,1082,70,PAK,2000,2017,17
RT Ponting ,168,287,29,13378,257,51.85,257,58.72,41,62,17,1509,73,AUS,1995,2012,17
J Ryder ,20,32,5,1394,201,51.62,201,44.86,3,9,1,102+,3,AUS,1920,1929,9
A Flower ,63,112,19,4794,232,51.54,232,45.07,12,27,5,543,20,ZIM,1992,2002,10
MEK Hussey ,79,137,16,6235,195,51.52,195,50.13,19,29,12,685,39,AUS,2005,2013,8
S Chanderpaul ,164,280,49,11867,203,51.37,203,43.31,30,66,15,1285,36,WI,1994,2015,21
JE Root ,148,270,22,12716,262,51.27,262,57.15,35,64,12,1363,44,ENG,2012,2024,12
SM Gavaskar ,125,214,16,10122,236,51.12,236,43.35,34,45,12,908+,26,IND,1971,1987,16
SR Waugh ,168,260,46,10927,200,51.06,200,48.64,32,50,22,1175,20,AUS,1985,2004,19
ML Hayden ,103,184,14,8625,380,50.73,380,60.1,30,29,14,1049,82,AUS,1994,2009,15
AB de Villiers ,114,191,18,8765,278,50.66,278,54.51,22,46,8,1024,64,SA,2004,2018,14
AR Border ,156,265,44,11174,205,50.56,205,41.09,27,63,11,1161,28,AUS,1978,1994,16
IVA Richards ,121,182,12,8540,291,50.23,291,69.77,24,45,10,952+,84,WI,1974,1991,17
DCS Compton ,78,131,15,5807,278,50.06,278,38.81,17,28,10,342+,3,ENG,1937,1957,20
DPMD Jayawardene ,149,252,15,11814,374,49.84,374,51.45,34,50,15,1387,61,SL,1997,2014,17
Inzamam-ul-Haq ,120,200,22,8830,329,49.6,329,54.02,25,46,15,1105,48,ICC/PAK,1992,2007,15
M Labuschagne ,50,90,7,4114,215,49.56,215,52.68,11,20,4,463,12,AUS,2018,2024,6
FMM Worrell ,51,87,9,3860,261,49.48,261,40.16,9,22,11,240+,11,WI,1948,1963,15
CP Mead ,17,26,2,1185,182,49.37,182,30.04,4,3,3,38+,0,ENG,1911,1928,17
V Sehwag ,104,180,6,8586,319,49.34,319,82.23,23,32,16,1233,91,ICC/IND,2001,2013,12
Abid Ali ,16,26,2,1180,215,49.16,215,48.26,4,3,2,148,5,PAK,2019,2021,2
MJ Clarke ,115,198,22,8643,329,49.1,329,55.92,28,27,9,978,39,AUS,2004,2015,11
KC Bland ,21,39,5,1669,144,49.08,144,37.74,3,9,2,123+,20,SA,1961,1966,5
B Mitchell ,42,80,9,3471,189,48.88,189,29.11,8,21,3,41+,1,SA,1929,1949,20
Hon.FS Jackson ,20,33,4,1415,144,48.79,144,0.0,5,6,3,51+,0,ENG,1893,1905,12
TT Samaraweera ,81,132,20,5462,231,48.76,231,46.92,14,30,11,633,7,SL,2001,2013,12
RN Harvey ,79,137,10,6149,205,48.41,205,43.74,21,24,7,427+,1,AUS,1948,1963,15
KD Walters ,74,125,14,5357,250,48.26,250,49.16,15,33,4,525+,23,AUS,1965,1981,16
GC Smith ,117,205,13,9265,277,48.25,277,59.67,27,38,11,1165,24,ICC/SA,2002,2014,12
WH Ponsford ,29,48,4,2122,266,48.22,266,44.77,7,6,1,119+,0,AUS,1924,1934,10
SJ McCabe ,39,62,5,2748,232,48.21,232,60.02,6,13,4,241+,5+,AUS,1930,1938,8
DR Jardine ,22,33,6,1296,127,48.0,127,25.59,1,10,2,53+,0,ENG,1928,1934,6
